"Name","BaseName","Version"
"Google.Apis.Admin.DataTransfer.datatransfer_v1.dll","Google.Apis.Admin.DataTransfer.datatransfer_v1","1.39.0.418"
"Google.Apis.Admin.Directory.directory_v1.dll","Google.Apis.Admin.Directory.directory_v1","1.39.0.1505"
"Google.Apis.Admin.Reports.reports_v1.dll","Google.Apis.Admin.Reports.reports_v1","1.39.0.1578"
"Google.Apis.Auth.dll","Google.Apis.Auth","1.39.0.0"
"Google.Apis.Auth.PlatformServices.dll","Google.Apis.Auth.PlatformServices","1.39.0.0"
"Google.Apis.Calendar.v3.dll","Google.Apis.Calendar.v3","1.39.0.1573"
"Google.Apis.Classroom.v1.dll","Google.Apis.Classroom.v1","1.39.0.1572"
"Google.Apis.Core.dll","Google.Apis.Core","1.39.0.0"
"Google.Apis.dll","Google.Apis","1.39.0.0"
"Google.Apis.Docs.v1.dll","Google.Apis.Docs.v1","1.39.0.1576"
"Google.Apis.Drive.v3.dll","Google.Apis.Drive.v3","1.39.0.1566"
"Google.Apis.DriveActivity.v2.dll","Google.Apis.DriveActivity.v2","1.39.0.1579"
"Google.Apis.Gmail.v1.dll","Google.Apis.Gmail.v1","1.39.0.1572"
"Google.Apis.Groupssettings.v1.dll","Google.Apis.Groupssettings.v1","1.39.0.1534"
"Google.Apis.HangoutsChat.v1.dll","Google.Apis.HangoutsChat.v1","1.39.0.1574"
"Google.Apis.Licensing.v1.dll","Google.Apis.Licensing.v1","1.39.0.774"
"Google.Apis.Oauth2.v2.dll","Google.Apis.Oauth2.v2","1.39.0.1532"
"Google.Apis.PeopleService.v1.dll","Google.Apis.PeopleService.v1","1.39.0.1574"
"Google.Apis.PlatformServices.dll","Google.Apis.PlatformServices","1.39.0.0"
"Google.Apis.Script.v1.dll","Google.Apis.Script.v1","1.39.0.1579"
"Google.Apis.Sheets.v4.dll","Google.Apis.Sheets.v4","1.39.0.1565"
"Google.Apis.Slides.v1.dll","Google.Apis.Slides.v1","1.39.0.1576"
"Google.Apis.Tasks.v1.dll","Google.Apis.Tasks.v1","1.39.0.1513"
"Google.Apis.Urlshortener.v1.dll","Google.Apis.Urlshortener.v1","1.39.0.138"
